NOC,Year,Gold,Silver,Bronze,Total,AthleteCount,SportCount,EventCount,HasMedal,SexRatio,isHost
AFG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ALB,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ALG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
AND,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ANG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ANT,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ARG,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ARM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ARU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
ASA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
AUS,1896,2,0,0,2,1.0,2.0,5.0,1.0,0.0,0
AUT,1896,2,1,2,5,3.0,3.0,8.0,1.0,0.0,0
AZE,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAH,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BAR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BDI,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BEL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BEN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BER,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BHU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BIH,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BIZ,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BLR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BOL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BOT,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BRA,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BRN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BRU,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BUL,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
BUR,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAF,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAM,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAN,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
CAY,1896,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
